name,gender,age,title,state,affiliation
richard shelby,male,86,senator,alabama,republican
tommy tuberville,male,66,senator,alabama,republican
lisa murkowski,female,63,senator,alaska,republican
dan sullivan,male,56,senator,alaska,republican
kyrsten sinema,female,44,senator,arizona,democrat
mark kelly,male,57,senator,arizona,democrat
john boozman,male,70,senator,arkansas,republican
tom cotton,male,43,senator,arkansas,republican
dianne feinstein,female,87,senator,california,democrat
alex padilla,male,48,senator,california,democrat
michael bennet,male,56,senator,colorado,democrat
john hickenlooper,male,69,senator,colorado,democrat
richard blumenthal,male,75,senator,connecticut,democrat
chris murphy,male,47,senator,connecticut,democrat
tom carper,male,74,senator,delaware,democrat
chris coons,male,57,senator,delaware,democrat
marco rubio,male,49,senator,florida,republican
rick scott,male,68,senator,florida,republican
jon ossoff,male,34,senator,georgia,democrat
raphael warnock,male,51,senator,georgia,democrat
brian schatz,male,48,senator,hawaii,democrat
mazie hirono,female,73,senator,hawaii,democrat
mike crapo,male,69,senator,idaho,republican
jim risch,male,77,senator,idaho,republican
dick durbin,male,76,senator,illinois,democrat
tammy duckworth,female,53,senator,illinois,democrat
todd young,male,48,senator,indiana,republican
mike braun,male,67,senator,indiana,republican
chuck grassley,male,87,senator,iowa,republican
joni ernst,female,50,senator,iowa,republican
jerry moran,male,66,senator,kansas,republican
roger marshall,male,60,senator,kansas,republican
mitch mcconnell,male,79,senator,kentucky,republican
rand paul,male,58,senator,kentucky,republican
bill cassidy,male,63,senator,louisiana,republican
john kennedy,male,69,senator,louisiana,republican
susan collins,female,68,senator,maine,republican
angus king,male,76,senator,maine,independent
ben cardin,male,77,senator,maryland,democrat
chris van hollen,male,62,senator,maryland,democrat
elizabeth warren,female,71,senator,massachusetts,democrat
ed markey,male,74,senator,massachusetts,democrat
debbie stabenow,female,70,senator,michigan,democrat
gary peters,male,62,senator,michigan,democrat
amy klobuchar,female,60,senator,minnesota,democrat
tina smith,female,63,senator,minnesota,democrat
roger wiker,male,69,senator,mississippi,republican
cindy hyde-smith,female,61,senator,mississippi,republican
roy blunt,male,71,senator,missouri,republican
josh hawley,male,41,senator,missouri,republican
john tester,male,64,senator,montana,democrat
steve daines,male,58,senator,montana,democrat
deb fischer,female,70,senator,nebraska,republican
ben sasse,male,49,senator,nebraska,republican
catherine cortez masto,female,57,senator,nevada,democrat
jacky rosen,female,63,senator,nevada,democrat
jeanne shaheen,female,74,senator,new hampshire,democrat
maggie hassan,female,63,senator,new hampshire,democrat
bob menedez,male,67,senator,new jersey,democrat
cory booker,male,51,senator,new jersey,democrat
martin heinrich,male,49,senator,new mexico,democrat
ben ray lujan,male,48,senator,new mexico,democrat
chuck schumer,male,70,senator,new york,democrat
kirsten gillibrand,female,54,senator,new york,democrat
richard burr,male,65,senator,north carolina,republican
thom tillis,male,60,senator,north carolina,republican
john hoeven,male,64,senator,north dakota,republican
kevin cramer,male,60,senator,north dakota,republican
sherrod brown,male,68,senator,ohio,democrat
rob portman,male,65,senator,ohio,republican
jim inhofe,male,86,senator,oklahoma,republican
james lankford,male,53,senator,oklahoma,republican
ron wyden,male,71,senator,oregon,democrat
jeff merkley,male,64,senator,oregon,democrat
bob casey jr.,male,60,senator,pennsylvania,democrat
pat toomey,male,59,senator,pennsylvania,republican
jack reed,male,71,senator,rhode island,democrat
sheldon whitehouse,male,65,senator,rhode island,democrat
lindsey graham,male,65,senator,south carolina,republican
tim scott,male,55,senator,south carolina,republican
john thune,male,60,senator,south dakota,republican
mike rounds,male,66,senator,south dakota,republican
marsha blackburn,female,68,senator,tennessee,republican
bill hagerty,male,61,senator,tennessee,republican
john cornyn,male,69,senator,texas,republican
ted cruz,male,50,senator,texas,republican
mike lee,male,49,senator,utah,republican
mitt romney,male,74,senator,utah,republican
patrick leahy,male,80,senator,vermont,republican
bernie sanders,male,79,senator,vermont,independent
mark warner,male,66,senator,virginia,democrat
tim kaine,male,63,senator,virginia,democrat
patty murray,female,70,senator,washington,democrat
maria cantwell,female,62,senator,washington,democrat
joe manchin,male,73,senator,west virginia,democrat
shelley moore capito,female,67,senator,west virginia,republican
ron johnson,male,65,senator,wisconsin,republican
tammy baldwin,female,59,senator,wisconsin,democrat
john barrasso,male,68,senator,wyoming,republican
cynthia lummis,female,66,senator,wyoming,republican
